targeting_depth,cumulative_uplift,random_baseline
0.01,23.56663521209291,8.71770492433855
0.02,44.907668006548434,17.4354098486771
0.03,61.76289803913488,26.15311477301565
0.04,91.84509702614565,34.8708196973542
0.05,118.76758404091485,43.588524621692756
0.060000000000000005,150.17660625889772,52.306229546031304
0.06999999999999999,174.48759387825527,61.023934470369845
0.08,198.58708903643839,69.7416393947084
0.09,237.4599502993799,78.45934431904695
0.09999999999999999,244.78886351028586,87.1770492433855
0.11,266.67597889320297,95.89475416772405
0.12,300.488704165741,104.6124590920626
0.13,316.6680191976803,113.33016401640116
0.14,347.66542132542565,122.0478689407397
0.15000000000000002,363.6817777290951,130.76557386507827
0.16,378.0845979062466,139.4832787894168
0.17,399.7294333541246,148.20098371375536
0.18000000000000002,426.5755356057801,156.91868863809393
0.19,444.97802983216445,165.63639356243246
0.2,467.4192818567143,174.35409848677102
0.21000000000000002,486.7527386889861,183.07180341110956
0.22,519.7228006892543,191.7895083354481
0.23,541.6357299895772,200.50721325978665
0.24000000000000002,565.3471829539533,209.22491818412522
0.25,588.3625172091822,217.94262310846375
0.26,593.4626380152558,226.6603280328023
0.27,615.7672439001824,235.37803295714087
0.28,618.9795049083987,244.0957378814794
0.29000000000000004,637.1150508084438,252.81344280581797
0.3,644.2807813059785,261.5311477301565
0.31,652.492930913063,270.24885265449507
0.32,662.6971437770874,278.9665575788336
0.33,674.6457369429272,287.68426250317214
0.34,686.7080725979259,296.4019674275107
0.35000000000000003,699.3983333539386,305.11967235184926
0.36000000000000004,706.9164680239426,313.83737727618785
0.37,719.2726877419885,322.55508220052633
0.38,715.4289402277565,331.2727871248649
0.39,719.9280257647803,339.99049204920345
0.4,738.0638464900976,348.70819697354204
0.41000000000000003,744.3412107076467,357.4259018978806
0.42000000000000004,748.1772581012731,366.1436068222191
0.43,765.1687248378132,374.86131174655765
0.44,780.3217335404377,383.5790166708962
0.45,791.9852088384235,392.29672159523477
0.46,793.6237222356012,401.0144265195733
0.47000000000000003,804.904829791052,409.7321314439119
0.48000000000000004,806.6097571264816,418.44983636825043
0.49,805.9208967008364,427.16754129258896
0.5,806.3269964180032,435.8852462169275
0.51,805.8731659287181,444.60295114126603
0.52,818.0037772546597,453.3206560656046
0.53,813.1161462307971,462.03836098994316
0.54,840.2963590222906,470.75606591428175
0.55,861.5833076460954,479.4737708386203
0.56,874.4832186757086,488.1914757629588
0.5700000000000001,891.154211461437,496.9091806872974
0.5800000000000001,905.6532219221917,505.62688561163594
0.59,899.7828783005488,514.3445905359745
0.6,908.1864036125235,523.062295460313
0.61,918.4838451289601,531.7800003846515
0.62,927.1338037141818,540.4977053089901
0.63,941.8870427119382,549.2154102333286
0.64,944.373297373423,557.9331151576672
0.65,940.1266164642288,566.6508200820058
0.66,938.7455602949858,575.3685250063443
0.67,942.0399365774871,584.0862299306829
0.68,958.2354076514965,592.8039348550215
0.6900000000000001,942.6658540468543,601.52163977936
0.7000000000000001,948.0204382827319,610.2393447036985
0.7100000000000001,977.4601963084602,618.9570496280371
0.72,972.7197021326068,627.6747545523756
0.73,977.8796446598062,636.3924594767142
0.74,975.4395987205827,645.1101644010527
0.75,979.0351237952162,653.8278693253912
0.76,985.5742215351548,662.5455742497298
0.77,985.1698893143581,671.2632791740683
0.78,979.8115948089501,679.9809840984069
0.79,992.4668434146514,688.6986890227455
0.8,988.0337095377981,697.4163939470841
0.81,979.2851486667555,706.1340988714226
0.8200000000000001,978.51484066698,714.8518037957612
0.8300000000000001,970.6965822063293,723.5695087200997
0.8400000000000001,955.1299282033175,732.2872136444382
0.85,955.7552058020125,741.0049185687767
0.86,941.3428706881555,749.7226234931153
0.87,930.8847232398855,758.4403284174539
0.88,913.8542683864098,767.1580333417924
0.89,919.8274026590343,775.875738266131
0.9,920.2478550650255,784.5934431904695
0.91,908.5748984123231,793.311148114808
0.92,912.5943829004393,802.0288530391466
0.93,905.1223246061544,810.7465579634852
0.9400000000000001,891.0081351925727,819.4642628878238
0.9500000000000001,891.0673398556456,828.1819678121623
0.9600000000000001,896.5323185918537,836.8996727365009
0.97,897.833081444772,845.6173776608393
0.98,901.1384572498504,854.3350825851779
0.99,893.2698567585433,863.0527875095164
1.0,871.7704924338549,871.770492433855
