age,ltv,purchase_freq,tenure_months,prior_discounts,category,region,cohort_month,treated,converted,propensity,cate,segment,would_treat,age_group
41.656604957053176,167.53481703853643,3.0,18.830132446239425,2.0,Electronics,West,9,1,0,0.3398988287927828,0.1384482427328873,HIGH,1,30-45
25.520190725114055,224.8394097648797,2.0,15.108596259668646,1.0,Home,South,5,0,0,0.31511464255711835,0.09880138366474701,MEDIUM,0,<30
47.00541434967749,224.8394097648797,4.0,13.381742009780357,5.0,Beauty,East,3,1,0,0.5096254379947637,0.0343341823130481,MEDIUM,0,45-60
49.286776596694565,63.49884993468085,4.0,27.961513173904724,2.0,Beauty,West,7,1,0,0.43376873804535004,0.2905714300449807,HIGH,1,45-60
18.0,260.88194946520423,5.0,18.179778355757897,3.0,Beauty,East,8,1,1,0.44165951045846735,0.23111838135253493,HIGH,1,<30
22.373845917652183,111.94385930474097,2.0,5.936774294770449,1.0,Home,South,4,0,0,0.37460443950949185,0.1656297604083177,HIGH,1,<30
39.53408483800742,59.9037707980687,7.0,15.51803608972655,5.0,Beauty,East,2,0,0,0.48957240322681106,0.2864837015688054,HIGH,1,30-45
34.20508889187701,527.847366376564,4.0,19.953457464307828,4.0,Beauty,North,3,0,1,0.4488516676388529,0.11544238321986051,MEDIUM,0,30-45
37.79838610994853,125.38447219876969,3.0,13.504785623991953,1.0,Home,North,8,1,1,0.35124341426258693,0.03167252966135182,MEDIUM,0,30-45
27.763472869117038,623.176910196121,4.0,15.51803608972655,4.0,Home,North,2,0,0,0.38979416165517605,0.0024623984102514086,LOW,0,<30
48.55277569835394,227.15298018054608,6.0,22.04016176990384,1.0,Home,West,9,0,0,0.33781646711773333,0.02555746173268021,MEDIUM,0,45-60
47.33350322514738,224.8394097648797,4.0,6.07215226726601,2.0,Beauty,South,2,0,1,0.3824553398255094,0.0965004580187622,MEDIUM,0,45-60
38.79236837073459,224.8394097648797,4.0,62.268620973586195,4.0,Electronics,North,3,0,0,0.5295625332597814,0.03694820250116646,MEDIUM,0,30-45
51.526894483616395,20.29458252839134,6.0,0.2051085317018873,2.0,Electronics,West,4,0,0,0.3445940258462265,0.19069021081910503,HIGH,1,45-60
43.61011210702455,79.59029458175195,6.0,12.511849665124727,2.0,Beauty,West,11,1,0,0.4287463928160528,0.1236740543705865,MEDIUM,0,30-45
27.688490445401143,197.7218976889679,8.0,8.330928995848115,2.0,Beauty,East,9,1,0,0.37251751732496824,0.03197343316975979,MEDIUM,0,<30
42.425009408989986,307.43270678172445,7.0,5.5346369777187885,3.0,Home,West,1,0,0,0.3809177094049847,-0.027365844704102034,LOW,0,30-45
26.493408790052015,44.22513885808718,4.0,0.7555410733503068,4.0,Electronics,North,8,0,1,0.4429757373198072,0.13228160216640306,HIGH,1,<30
48.54140361568727,210.9789705618737,6.0,60.595032692368534,2.0,Beauty,North,9,0,0,0.4462302584708625,-0.029516634250996668,LOW,0,45-60
37.400889068164965,80.63738062828558,3.0,45.963268484895636,1.0,Apparel,West,1,0,0,0.44851458119551846,0.22286223679526512,HIGH,1,30-45
35.781651637456875,273.4607628723586,8.0,4.922851957257146,4.0,Beauty,North,10,0,0,0.39968340651047185,0.10324809898061707,MEDIUM,0,30-45
29.828845467152703,217.57405881492153,6.0,2.245416136733421,3.0,Electronics,North,9,0,0,0.29749407867040534,0.0854434997636009,MEDIUM,0,<30
52.67049606408836,432.3136827333148,5.0,92.52031618604238,3.0,Home,West,5,0,0,0.44851000685367276,-0.09676566370942093,LOW,0,45-60
36.145646215174374,578.327685042921,6.0,1.664263840915241,3.0,Beauty,South,2,0,0,0.36915958825477874,0.017768319605371542,LOW,0,30-45
32.86006613404271,334.6519074434977,3.0,48.12108713462376,2.0,Apparel,West,10,0,0,0.4513014316856419,-0.08383660920462686,LOW,0,30-45
33.774397394141246,480.27277804119404,9.0,20.226492313896852,3.0,Electronics,South,8,0,0,0.4710114715404037,-0.017187452458863668,LOW,0,30-45
44.38771022664018,161.53014339717083,4.0,12.953269508955685,2.0,Home,North,1,0,0,0.3507969394198818,0.08998025160186068,MEDIUM,0,30-45
42.385328772368936,1153.798119196705,6.0,8.878731886791792,3.0,Electronics,South,2,1,0,0.36182694802289567,-0.17320564553760867,LOW,0,30-45
42.95279133915186,73.92586843283362,5.0,11.729388890854619,3.0,Electronics,West,3,1,0,0.42439181648068525,0.13674720365941323,HIGH,1,30-45
43.169852036094596,137.69206790251204,5.0,11.490390441943838,4.0,Beauty,North,8,1,0,0.46194733446339353,0.14340442587235938,HIGH,1,30-45
63.69977121044553,498.3101749836905,2.0,31.359302755472626,5.0,Home,East,2,1,0,0.40927649850839876,-0.08656163413072707,LOW,0,60+
33.123019803384615,435.9158300528388,3.0,3.6212236823152635,1.0,Electronics,East,4,0,1,0.2692920730668566,0.015881089412315166,LOW,0,30-45
31.853087251141552,224.8394097648797,3.0,4.429505288269472,4.0,Home,West,10,0,0,0.415619390863298,0.28380519474978266,HIGH,1,30-45
28.23472726102547,406.5824722582218,3.0,41.535495082343935,3.0,Beauty,South,1,0,0,0.4246551973783873,0.0883169924291967,MEDIUM,0,<30
45.39175307090595,33.9469346859432,3.0,20.3959810372122,3.0,Apparel,West,12,1,1,0.5652344923062896,0.1502803248532473,HIGH,1,45-60
51.5476675126507,925.5321089937231,6.0,5.924744189733683,1.0,Apparel,West,10,0,1,0.31287562924721246,-0.15615110610761826,LOW,0,45-60
36.632630508141496,184.2877025033449,3.0,27.295906794644296,4.0,Electronics,South,5,1,0,0.5463028377626481,0.0792456857596699,MEDIUM,0,30-45
27.918122276449665,679.4643478778537,5.0,43.70012178079031,3.0,Electronics,South,12,0,0,0.4538595520737862,0.024855509330337745,MEDIUM,0,<30
28.106225411705125,35.51041660483497,6.0,45.22154075885446,3.0,Beauty,West,10,0,0,0.5805971460261395,0.2791243542906914,HIGH,1,<30
45.80711345389641,224.8394097648797,9.0,2.974513593488977,4.0,Apparel,East,2,0,0,0.4391517210685288,-0.00409228867331618,LOW,0,45-60
46.91905005444131,133.33275871187348,3.0,15.51803608972655,1.0,Beauty,North,1,1,0,0.3327856303610254,0.012713837759119904,LOW,0,45-60
44.51785121966234,370.5202638241717,3.0,4.3791025043034315,3.0,Beauty,West,4,0,0,0.3496042378206542,-0.038470379853800786,LOW,0,30-45
30.01388351253567,294.52485806542626,4.0,10.36678440858339,2.0,Electronics,North,4,0,0,0.3459523427003242,0.05367598025920515,MEDIUM,0,30-45
40.785935876800636,307.7977827228177,5.0,4.2020360067197755,4.0,Apparel,West,12,0,0,0.4543194563694423,-0.05813931737219855,LOW,0,30-45
39.40022970968874,224.8394097648797,7.0,0.8954330502246175,1.0,Apparel,South,4,1,1,0.2999017889009516,0.015600270954490857,LOW,0,30-45
40.62426316074816,210.34053051419465,4.0,28.218028048265346,4.0,Apparel,East,1,1,1,0.5253356876843343,0.011020258615421597,LOW,0,30-45
48.45714533537828,188.2648328363942,5.0,6.903555097768327,5.0,Home,West,12,0,1,0.4659870864072071,0.08958197992406053,MEDIUM,0,45-60
40.683146585296186,345.7718061000378,1.0,17.489475231858577,3.0,Beauty,North,7,0,0,0.38152074737705505,0.0321642389384449,MEDIUM,0,30-45
46.146962756862735,539.3513942585959,6.0,0.6630606270331451,1.0,Beauty,West,6,1,1,0.28358927506580967,-0.12408492386288293,LOW,0,45-60
38.810948833866696,224.8394097648797,5.0,1.1993022494481878,5.0,Electronics,West,11,1,0,0.39851765647327564,0.07821249966106032,MEDIUM,0,30-45
41.46943278427981,70.20678371292622,7.0,35.46257411337385,2.0,Beauty,East,8,0,0,0.44410041671970324,0.17095627110585848,HIGH,1,30-45
45.575458710062485,243.91527432264604,6.0,5.574047745294226,3.0,Apparel,West,4,0,0,0.33271442884974867,0.020146329403522997,LOW,0,45-60
20.514130161732,1153.798119196705,4.0,72.53389910676046,2.0,Home,South,1,0,0,0.402099145992868,0.02830602430012596,MEDIUM,0,<30
34.16394540371238,973.9936599102994,6.0,11.041430441182051,3.0,Beauty,South,12,0,1,0.3960362116066906,0.0340246949446642,MEDIUM,0,30-45
32.35552814848646,224.8394097648797,8.0,13.925038591318703,2.0,Beauty,West,5,1,0,0.3577008249080541,0.15762891690743672,HIGH,1,30-45
30.333465821079898,234.3952606258284,3.0,6.919491724664985,2.0,Home,West,2,0,0,0.2890452288197885,0.14732139367446548,HIGH,1,30-45
34.69829298527979,512.2985562303126,6.0,35.859628664326145,3.0,Home,West,8,0,0,0.432189229517451,-0.008877165901342151,LOW,0,30-45
55.93929573481275,187.89920749009138,5.0,65.32814001429207,2.0,Beauty,East,2,1,0,0.46359887806507166,-0.027976141006178967,LOW,0,45-60
27.610026611681082,1153.798119196705,5.0,48.598127796798906,3.0,Electronics,South,8,1,1,0.43131158611891635,-0.06713950749055346,LOW,0,<30
49.61934025509777,174.1178217272873,3.0,10.576067139255267,3.0,Apparel,North,8,1,1,0.4393031041807104,0.10866104392062663,MEDIUM,0,45-60
18.0,363.93327372529427,4.0,10.134411846435572,4.0,Electronics,North,7,0,0,0.40854050661270425,0.1274388194517319,HIGH,1,<30
33.9813796401707,78.75777658078836,2.0,52.58752783005529,3.0,Apparel,South,5,0,0,0.5749422695773485,0.0995633451970992,MEDIUM,0,30-45
39.95303678126007,1153.798119196705,2.0,18.88216367913669,4.0,Apparel,North,6,1,1,0.3964340853105747,-0.041453380294624705,LOW,0,30-45
45.03466797631134,210.52539927276368,2.0,15.51803608972655,2.0,Beauty,East,9,0,0,0.3755174525041837,-0.050301254090431013,LOW,0,45-60
46.53471895751426,95.43812705704701,1.0,15.51803608972655,2.0,Beauty,East,11,0,0,0.37945340246676734,0.07567943818042004,MEDIUM,0,45-60
47.520166822399105,609.0590012852015,3.0,14.554125993766986,1.0,Apparel,North,10,0,1,0.2747166685204372,-0.15885536873477954,LOW,0,45-60
